id,retweet_count,favorite_count
677301033169788928,354,1111
677269281705472000,636,1794
677228873407442944,1461,3199
677187300187611136,809,2476
676975532580409345,949,2524
676957860086095872,719,2020
676949632774234114,348,1181
676948236477857792,771,1953
676946864479084545,326,1574
676942428000112642,665,1869
676936541936185344,4416,11591
676916996760600576,1611,2690
676897532954456065,648,2052
676864501615042560,623,1885
676821958043033607,13728,20654
676819651066732545,599,1653
676811746707918848,379,1302
676776431406465024,1797,4509
676617503762681856,854,2611
676613908052996102,176,984
676606785097199616,386,1721
676603393314578432,339,1037
676593408224403456,1884,4125
676590572941893632,110,838
676588346097852417,696,2078
676582956622721024,251,1073
676575501977128964,985,2320
676533798876651520,487,1696
676496375194980353,471,1374
676470639084101634,4168,10549
676440007570247681,588,1559
676430933382295552,302,1263
676263575653122048,483,1892
676237365392908289,249,1089
676219687039057920,27658,70690
676215927814406144,516,1572
676191832485810177,915,2051
676146341966438401,585,1748
676121918416756736,1024,1962
676101918813499392,1047,2578
676098748976615425,1246,2669
676089483918516224,389,1180
675898130735476737,506,1443
675891555769696257,761,1921
675888385639251968,839,2114
